map;id;type;col;size;loc;on-top-of;next-to;right-of;left-of;under
10;c1;cube;blue;large;right-hand;;b4;;;b4
10;c2;cube;blue;small;center;;b1;;b1;
10;c3;cube;green;small;left-hand;;b3;b3;;
10;b1;ball;blue;large;center;;c2;c2;;
10;b2;ball;green;large;left-hand;;;;;
10;b3;ball;bluen;small;left-hand;;c3;;c3;
10;b4;ball;green;small;right-hand;c1;c1;;;
11;c1;cube;red;large;left-hand;;c3;;;c3
11;c2;cube;red;small;center;;b2;;;b2
11;c3;cube;yellow;small;left-hand;c1;c1;;;
11;b1;ball;red;large;right-hand;;b4;b4;;
11;b2;ball;yellow;large;center;c2;c2;;;
11;b3;ball;red;small;right-hand,front;;;;;
11;b4;ball;yellow;small;right-hand;;b1;;b1;
12;c1;cube;blue;large;center;;c3;;;c3
12;c2;cube;blue;small;left-hand;;b1;;;b1
12;c3;cube;green;small;center;c1;c1;;;
12;b1;ball;blue;large;left-hand;c2;c2;;;
12;b2;ball;green;large;right-hand;;b3;b3;;
12;b3;ball;blue;small;right-hand;;b2;;b2;
12;b4;ball;green;small;left-hand;;;;;
13;c1;cube;blue;large;left-hand;;c2;c2;;
13;c2;cube;green;large;left-hand;;c1;;c1;
13;c3;cube;green;large;right-hand;;b1;;;b1
13;c4;cube;blue;small;center;;b3;;b3;
13;b1;ball;blue;large;right-hand;c3;c3;;;
13;b2;ball;blue;large;left-hand;;;;;
13;b3;ball;green;large;center;;c4;c4;;
14;c1;cube;red;large;left-hand;;b2;;;b2
14;c2;cube;red;large;right-hand;;c3;c3;;
14;c3;cube;yellow;large;right-hand;;c2;;c2;
14;c4;cube;red;small;center;;b1;b1;;
14;b1;ball;red;large;center;;c4;;c4;
14;b2;ball;yellow;large;left-hand;c1;c1;;;
14;b3;ball;yellow;large;right-hand;;;;;
15;c1;cube;blue;large;right-hand;;c2;;;c2
15;c2;cube;green;large;right-hand;c1;c1;;;
15;c3;cube;green;large;left-hand;;b1;;b1;
15;c4;cube;blue;small;center;;b3;;;b3
15;b1;ball;blue;large;left-hand;;c3;c3;;
15;b2;ball;blue;large;left-hand;;;;;
15;b3;ball;green;large;center;c4;c4;;;
16;c1;cube;red;large;left-hand;c3;c3;;;
16;c2;cube;red;large;right-hand;;b2;b2;;
16;c3;cube;yellow;large;left-hand;;c1;;;c1
16;c4;cube;red;small;center;;b1;;;b1
16;b1;ball;red;large;center;c4;c4;;;
16;b2;ball;yellow;large;center;;c2;;c2;
16;b3;ball;yellow;large;right-hand;;;;;
17;c1;cube;red;large;center;;b1;;b1;
17;c2;cube;yellow;large;left-hand;;b2;;;b2
17;c3;cube;red;small;right-hand;;c4;c4;;
17;c4;cube;yellow;small;right-hand;;c3;;c3;
17;b1;ball;yellow;large;center;;c1;c1;;
17;b2;ball;red;small;left-hand;c2;c2;;;
17;b3;ball;red;small;left-hand,front;;;;;
18;c1;cube;blue;large;center;;b1;b1;;
18;c2;cube;green;large;right-hand;;b2;;;b2
18;c3;cube;blue;small;left-hand;;c4;;c4;
18;c4;cube;green;small;left-hand;;c3;c3;;
18;b1;ball;blue;large;center;;c1;;c1;
18;b2;ball;blue;small;right-hand;b2;b2;;;
18;b3;ball;green;small;right-hand,front;;;;;
19;c1;cube;red;large;right-hand;;b1;;;b1
19;c2;cube;yellow;large;left-hand;;c3;;;c3
19;c3;cube;red;small;left-hand;c2;c2;;;
19;c4;cube;yellow;small;center;;b2;b2;;
19;b1;ball;yellow;large;right-hand;c1;c1;;;
19;b2;ball;red;small;center;;c4;;c4;
19;b3;ball;red;small;right-hand;;;;;
20;c1;cube;blue;large;center;;b1;;;b1
20;c2;cube;green;large;right-hand;;c3;;;c3
20;c3;cube;blue;small;right-hand;c2;c2;;;
20;c4;cube;green;small;left-hand;;b3;;b3;
20;b1;ball;blue;large;center;c1;c1;;;
20;b2;ball;blue;small;left-hand;;;;;
20;b3;ball;green;small;left-hand;;c4;c4;;
21;c1;cube;blue;large;center;;b1;b1;;
21;c2;cube;blue;small;left-hand;;c3;;c3;
21;c3;cube;green;small;left-hand;;c2;c2;;
21;c4;cube;green;small;right-hand;;b2;;;b2
21;b1;ball;green;large;center;;c1;;c1;
21;b2;ball;blue;small;right-hand;c4;c4;;;
21;b3;ball;blue;small;right-hand,front;;;;;
22;c1;cube;red;large;center;;b1;;b1;
22;c2;cube;red;small;left-hand;;b2;;;b2
22;c3;cube;red;small;right-hand;;c4;c4;;
22;c4;cube;yellow;small;right-hand;;c3;;c3;
22;b1;ball;red;large;center;;c1;c1;;
22;b2;ball;yellow;small;left-hand;c2;c2;;;
22;b3;ball;yellow;small;left-hand,front;;;;;
23;c1;cube;blue;large;center;;b1;;;b1
23;c2;cube;blue;small;left-hand;;c3;;;c3
23;c3;cube;green;small;left-hand;c2;c2;;;
23;c4;cube;green;small;right-hand;;b2;b2;;
23;b1;ball;green;large;center;c1;c1;;;
23;b2;ball;blue;small;right-hand;;c4;;c4;
23;b3;ball;blue;small;right-hand,front;;;;;
24;c1;cube;red;large;center;;b1;;;b1
24;c2;cube;red;small;left-hand;;b2;;b2;
24;c3;cube;red;small;right-hand;c4;c4;;;
24;c4;cube;yellow;small;right-hand;;c3;;;c3
24;b1;ball;red;large;center;c1;c1;;;
24;b2;ball;yellow;small;left-hand;;c2;c2;;
24;b3;ball;yellow;small;left-hand,front;;;;;
25;c1;cube;blue;large;right-hand;;b2;;;b2
25;c2;cube;blue;small;center;;b4;;b4;
25;c3;cube;green;small;left-hand;;b3;b3;;
25;b1;ball;blue;large;left-hand,front;;;;;
25;b2;ball;green;large;right-hand;c1;c1;;;
25;b3;ball;blue;small;left-hand;;c3;;c3;
25;b4;ball;green;small;center;;c2;c2;;
26;c1;cube;red;large;left-hand;;b4;;;b4
26;c2;cube;red;small;center;;b3;b3;;
26;c3;cube;yellow;small;right-hand;;b1;;b1;
26;b1;ball;red;large;right-hand;;c3;c3;;
26;b2;ball;yellow;large;right-hand,front;;;;;
26;b3;ball;red;small;center;;c2;;c2;
26;b4;ball;yellow;small;left-hand;c1;c1;;;
27;c1;cube;blue;large;right-hand;;c3;;;c3
27;c2;cube;blue;small;center;;b4;;;b4
27;c3;cube;green;small;right-hand;c1;c1;;;
27;b1;ball;blue;large;left-hand;;b2;;b2;
27;b2;ball;green;large;left-hand;;b1;b1;;
27;b3;ball;blue;small;left-hand,front;;;;;
27;b4;ball;green;small;center;c2;c2;;;
28;c1;cube;red;large;left-hand;;c3;;;c3
28;c2;cube;red;small;center;;b3;;;b3
28;c3;cube;yellow;small;left-hand;c1;c1;;;
28;b1;ball;red;large;right-hand;;b2;b2;;
28;b2;ball;yellow;large;right-hand;;b1;;b1;
28;b3;ball;red;small;center;c2;c2;;;
28;b4;ball;yellow;small;right-hand,front;;;;;
29;c1;cube;red;large;right-hand;;c2;;c2;
29;c2;cube;yellow;large;right-hand;;c1;c1;;
29;c3;cube;yellow;large;left-hand;;b1;;;b1
29;c4;cube;red;small;center;;b3;b3;;
29;b1;ball;red;large;left-hand;c3;c3;;;
29;b2;ball;red;large;right-hand,front;;;;;
29;b3;ball;yellow;small;center;;c4;;c4;
30;c1;cube;blue;large;right-hand;;b1;;;b1
30;c2;cube;blue;large;left-hand;;c3;;c3;
30;c3;cube;green;large;left-hand;;c2;c2;;
30;c4;cube;blue;small;center;;b3;;b3;
30;b1;ball;green;large;right-hand;c1;c1;;;
30;b2;ball;green;large;left-hand,front;;;;;
30;b3;ball;blue;small;center;;c4;c4;;
31;c1;cube;red;large;left-hand;;c2;;;c2
31;c2;cube;yellow;large;left-hand;c1;c1;;;
31;c3;cube;yellow;large;right-hand;;b1;b1;;
31;c4;cube;red;small;center;;b3;;;b3
31;b1;ball;red;large;right-hand;;c3;;c3;
31;b2;ball;red;large;right-hand,front;;;;;
31;b3;ball;yellow;small;center;c4;c4;;;
32;c1;cube;blue;large;left-hand;;b1;;b1;
32;c2;cube;blue;large;right-hand;c3;c3;;;
32;c3;cube;green;large;right-hand;;c2;;;c2
32;c4;cube;blue;small;center;;b3;;;b3
32;b1;ball;green;large;left-hand;;c1;c1;;
32;b2;ball;green;large;left-hand,front;;;;;
32;b3;ball;blue;small;center;c4;c4;;;
