trial;context;reference-type;minimal;length;id;type;others;hpos;vpos;next;left;right;landmark-type;landmark-others;second-landmark-type;second-landmark-others
36;abs5;fully-spec;no;6;e3;star;white;;;q6-c2;;;box;white;circle;white,distant
36;proj1;under-spec;no;6;e2;star;upside-down;;;;;q1-c1;box;white;circle;white,distant
36;proj3;under-spec;no;4;e4;star;;;;;q4-c2;;box;;circle;distant
36;proj5;under-spec;no;5;e2;star;upside-down;;;q6-c2;;;box;;circle;white,distant
37;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
37;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
37;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
37;proj1;fully-spec;no;3;e2;star;;;;q1;;;box;above(q2);;
37;proj3;under-spec;no;3;e4;star;;;;q4;;;box;white;;
37;proj5;under-spec;no;3;e2;star;small;;;;q6;;box;;;
38;abs1;fully-spec;no;3;e2;object;;;;q2;;;box;white;;
38;abs3;fully-spec;no;5;e2;star;;;;q1-c1;;;box;white;circle;white
38;abs5;fully-spec;no;4;e3;star;;;;q6-c2;;;box;white;circle;
38;proj1;under-spec;no;4;e2;star;;;;q1-c1;;;box;;circle;white,distant
38;proj3;under-spec;no;3;e4;star;;;;q4-c2;;;box;;circle;
38;proj5;under-spec;no;4;e2;star;;;;q6-c2;;;box;;circle;distant
39;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
39;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;white;;
39;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
39;proj1;under-spec;no;3;e2;star;;;;q1;;;box;white;;
39;proj3;under-spec;no;3;e4;star;;;;q4;;;box;white;;
39;proj5;under-spec;no;3;e2;star;;;;q6;;;box;white;;
40;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
40;abs3;fully-spec;no;4;e2;star;5-pointed,white;;;q1;;;box;white;;
40;abs5;fully-spec;no;4;e3;star;5-pointed;;;q6;;;box;white;;
40;proj1;under-spec;no;4;e2;star;5-pointed;;;q1;;;box;white;;
40;proj3;under-spec;no;4;e4;star;white;;;q4;;;box;white;;
40;proj5;ambiguous;no;1;e2;star;5-pointed,white;;;;;;;;;
41;abs1;fully-spec;no;6;e2;;;;;c1;q2;;box;white;circle;white
41;abs3;fully-spec;no;6;e2;;;;;c1;;q1;box;white;circle;white
41;abs5;fully-spec;no;4;e3;;nearest;;;;q6;;box;white;;
41;proj1;under-spec;no;5;e2;;;;;;;q1;box;white;circle;white
41;proj3;under-spec;no;4;e4;;level(q4);;;;q4;;box;white;;
41;proj5;under-spec;yes;2;e2;;;;;;q6;;box;;;
42;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;colourless;;
42;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;colourless;;
42;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;colourless;;
42;proj1;fully-spec;no;3;e2;star;;left;;q1;;;box;;;
42;proj3;under-spec;no;4;e4;star;colourless;;;q4;;;box;colourless;;
42;proj5;fully-spec;no;3;e2;star;;right;;q6;;;box;;;
43;abs1;under-spec;yes;2;e2;star;;;;;q2;;box;;;
43;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
43;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
43;proj1;under-spec;yes;2;e2;star;;;;;;q1;box;;;
43;proj3;under-spec;yes;2;e4;star;;;;;q4;;box;;;
43;proj5;under-spec;yes;2;e2;star;;;;;q6;;box;;;
44;abs1;fully-spec;no;3;e2;;;;;;q2;;box;white;;
44;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
44;abs5;fully-spec;no;3;e3;;;;;;q6;;box;white;;
44;proj1;under-spec;yes;2;e2;;;;;q1;;;box;;;
44;proj3;under-spec;no;3;e4;;;;;;q4;;box;white;;
44;proj5;under-spec;no;3;e2;;;;;;q6;;box;white;;
45;abs1;under-spec;no;4;e2;star;5-pointed;;;;q2-c1;;box;;circle;
45;abs3;under-spec;no;4;e2;;;;;q1-c1;;;box;4-similar;circle;
45;abs5;fully-spec;no;5;e3;;;right;bottom;;q6-c2;;box;;circle;
45;proj1;under-spec;no;4;e2;star;5-pointed;;;;;q1-c1;box;;circle;
45;proj3;under-spec;no;4;e4;star;5-pointed;;;;q4-c2;;box;;circle;
45;proj5;fully-spec;no;5;e2;;;right;top;;q6-c2;;box;;circle;
46;abs1;under-spec;yes;2;e2;;;;;q2;;;box;;;
46;abs3;under-spec;yes;2;e2;;;;;q1;;;box;;;
46;abs5;under-spec;yes;2;e3;;;;;q6;;;box;;;
46;proj1;under-spec;yes;2;e2;;;;;q1;;;box;;;
46;proj3;under-spec;yes;2;e4;;;;;q4;;;box;;;
46;proj5;under-spec;yes;2;e2;;;;;q6;;;box;;;
47;abs1;under-spec;yes;2;e2;star;;;;q2;;;box;;;
47;abs3;under-spec;yes;2;e2;star;;;;q1;;;box;;;
47;abs5;under-spec;yes;2;e3;star;;;;q6;;;box;;;
47;proj1;under-spec;yes;2;e2;;;;;q1;;;box;;;
47;proj3;under-spec;yes;2;e4;;;;;q4;;;box;;;
47;proj5;under-spec;yes;2;e2;star;;;;q6;;;box;;;
48;abs1;fully-spec;no;3;e2;;;;;q2;;;box;white;;
48;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
48;abs5;fully-spec;no;3;e3;;;;;q6;;;box;white;;
48;proj1;under-spec;yes;2;e2;;;;;q1;;;box;;;
48;proj3;under-spec;no;3;e4;;;;;;q4;;box;white;;
48;proj5;under-spec;no;5;e2;;;;;;q6-c2;;box;white;circle;white
49;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
49;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
49;abs5;fully-spec;no;5;e3;;;right;;;q6-c2;;box;white;circle;
49;proj1;fully-spec;no;4;e2;;;left;;;;q1-c1;box;;circle;
49;proj3;fully-spec;no;4;e4;;;right;;;q4-c2;;box;;circle;
49;proj5;fully-spec;no;4;e2;;;right;;q6-c2;;;box;;circle;
50;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
50;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;white;;
50;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
50;proj1;under-spec;yes;2;e2;star;;;;q1;;;box;;;
50;proj3;under-spec;yes;2;e4;star;;;;q4;;;box;;;
50;proj5;under-spec;yes;2;e2;star;;;;;q6;;box;;;
51;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
51;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;white;;
51;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
51;proj1;fully-spec;no;4;e2;star;;left;;q1;;;box;white;;
51;proj3;fully-spec;no;4;e4;star;;right;;q4;;;box;white;;
51;proj5;fully-spec;no;4;e2;star;;right;;q6;;;box;white;;
52;abs1;fully-spec;no;4;e2;star;;right;;q2;q2;;box;;;
52;abs3;fully-spec;no;3;e2;;;;;q1;;;box;white;;
52;abs5;fully-spec;no;3;e3;;;;;q6;;;box;white;;
52;proj1;fully-spec;no;4;e2;star;;left;;q1;;q1;box;;;
52;proj3;under-spec;yes;2;e4;;;;;q4;;;box;;;
52;proj5;under-spec;yes;2;e2;;;;;q6;;;box;;;
53;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
53;abs3;no-landmark;no;1;e2;star;opposite(q2-q3-q4);;;;;;;;;
53;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
53;proj1;under-spec;yes;2;e2;star;;;;q1;;;box;;;
53;proj3;under-spec;yes;2;e4;;;;;q4;;;box;;;
53;proj5;under-spec;yes;2;e2;star;;;;q6;;;box;;;
54;abs1;fully-spec;no;4;e2;;;;;;q2-c1;;box;white;circle;
54;abs3;under-spec;yes;2;e2;;;;;;;q1;box;;;
54;abs5;fully-spec;no;3;e3;;;;;q6;;;box;not-red;;
54;proj1;fully-spec;no;4;e2;;;left;;q1;;;box;white;;
54;proj3;under-spec;yes;2;e4;;;;;q4;;;box;;;
54;proj5;fully-spec;no;3;e2;;;;;q6;;;box;distant;;
55;abs1;fully-spec;no;3;e2;;;;;q2;;;box;white;;
55;abs3;fully-spec;no;3;e2;;;;;q1;;;box;white;;
55;abs5;fully-spec;no;3;e3;;;;;q6;;;box;white;;
55;proj1;fully-spec;no;4;e2;;;;top;q1;;;box;white;;
55;proj3;fully-spec;no;4;e4;;;right;;q4;;;box;white;;
55;proj5;fully-spec;no;4;e2;;;right;;q6;;;box;white;;
56;abs1;fully-spec;no;3;e2;;;;;;q2;;box;white;;
56;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
56;abs5;fully-spec;no;3;e3;;;;;;q6;;box;white;;
56;proj1;under-spec;yes;2;e2;star;;;;;;q1;box;;;
56;proj3;under-spec;yes;2;e4;;;;;;q4;;box;;;
56;proj5;under-spec;no;4;e2;;;;;;q6-c2;;box;;circle;white
57;abs1;fully-spec;no;3;e2;;;;;;q2;;box;white;;
57;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
57;abs5;fully-spec;no;3;e3;;;;;;q6;;box;white;;
57;proj1;under-spec;no;3;e2;;;;;;;q1;box;white;;
57;proj3;under-spec;no;3;e4;;;;;;q4;;box;white;;
57;proj5;under-spec;no;3;e2;;;;;;q6;;box;white;;
58;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;not-red;;
58;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;not-red;;
58;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;not-red;;
58;proj1;under-spec;yes;2;e2;star;;;;q1;;;box;;;
58;proj3;under-spec;yes;2;e4;star;;;;q4;;;box;;;
58;proj5;under-spec;yes;2;e2;star;;;;;q6;;box;;;
59;abs1;fully-spec;no;5;e2;star;;;;;q2-c1;;box;white;circle;white
59;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
59;abs5;fully-spec;no;3;e3;star;;;;;q6;;box;white;;
59;proj1;under-spec;no;5;e2;star;;;;;;q1-c1;box;white;circle;white
59;proj3;under-spec;no;5;e4;star;;;;;q4-c2;;box;white;circle;white
59;proj5;under-spec;no;5;e2;star;;;;;q6-c2;;box;white;circle;white
60;abs1;fully-spec;no;3;e2;;;;;;q2;;box;white;;
60;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
60;abs5;fully-spec;no;3;e3;;;;;q6;;;box;white;;
60;proj1;fully-spec;no;6;e2;;;left;;;;q1-c1;box;white;circle;white
60;proj3;under-spec;no;4;e4;;;;;;q4-c2;;box;white;circle;
60;proj5;under-spec;no;4;e2;;;;;q6-c2;;;box;white;circle;
61;abs1;fully-spec;no;3;e2;;;;;;q2;;box;white;;
61;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
61;abs5;fully-spec;no;3;e3;;;;;;q6;;box;white;;
61;proj1;under-spec;yes;2;e2;;;;;;;q1;box;;;
61;proj3;under-spec;yes;2;e4;;;;;;q4;;box;;;
61;proj5;under-spec;yes;2;e2;;;;;;q6;;box;;;
62;abs1;under-spec;yes;2;e2;;;;;q2;;;box;;;
62;abs3;under-spec;yes;2;e2;;;;;;;q1;box;;;
62;abs5;fully-spec;no;3;e3;;;;;q6;;;box;not-red;;
62;proj1;under-spec;yes;2;e2;;;;;;;q1;box;;;
62;proj3;under-spec;yes;2;e4;;;;;;q4;;box;;;
62;proj5;under-spec;yes;2;e2;;;;;;q6;;box;;;
63;abs1;fully-spec;no;3;e2;;;;;;q2;;box;white;;
63;abs3;fully-spec;no;3;e2;;;;;;;q1;box;white;;
63;abs5;fully-spec;no;3;e3;;;;;;q6;;box;white;;
63;proj1;fully-spec;no;3;e2;;;;;;;q1;box;above(q2);;
63;proj3;fully-spec;no;3;e4;;;right;;;q4;;box;;;
63;proj5;fully-spec;no;3;e2;;;right;;;q6;;box;;;
64;abs1;fully-spec;no;3;e2;;;;;q2;;;box;white;;
64;abs3;fully-spec;no;3;e2;;;;;q1;;;box;white;;
64;abs5;fully-spec;no;3;e3;;;;;q6;;;box;white;;
64;proj1;under-spec;no;3;e2;;;;;;;q1;box;white;;
64;proj3;under-spec;no;3;e4;;;;;;q4;;box;white;;
64;proj5;under-spec;no;3;e2;;;;;;q6;;box;white;;
