id;type;name;other;in;right-of;left-of;between/corner;near-to;in-front-of;behind;d1.id;d1.type;d1.name;d1.other;d2.id;d2.type;d2.name;d2.other;d3.id;d3.type;d3.name;d3.other;d4.id;d4.type;d4.name;d4.other;;id;type;name;other;in;right-of;left-of;between/corner;near-to;in-front-of;behind;d1.id;d1.type;d1.name;d1.other;d2.id;d2.type;d2.name;d2.other;d3.id;d3.type;d3.name;d3.other;d4.id;d4.type;d4.name;d4.other
chur3;church;;;d1;;;;d2;;;str12;street;rua da vitoria;;str14;street;rua crucifixo;;;;;;;;;;/;chur2;church;;;d1;;;;;;;park1;park;chiado;;;;;;;;;;;;;
chur2;church;;;d1;;;;;;;park1;park;parque chiado;;;;;;;;;;;;;;/;chur3;church;;;d1;;;;;;;str12;street;rua da vitoria;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;restaurant;;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;;;;;;;;;;;;;;;;;;;;;;;;;;
rest1;street;rua garret;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;;;;;;;;;;;;;;;;;;;;;;;;;;
rest1;restaurant;;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;;;;;;;;;;;;;;;;;;;;;;;
rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;;;;;;;;;;;;;;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;;;;;;;;;;;;;;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;d1;;;str2;street;serpa pinto;end;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;[d2,d3];;;;str3;street;rua garret;;str6;street;rua anchieta;;str9;street;rua ivens;;;;;
rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;rest1;restaurant;;;d1;;;;;;;str2;street;serpa pinto;end;;;;;;;;;;;;
rest2;restaurant;;;;;;;d1;;;str3;street;rua garret;;;;;;;;;;;;;;/;rest1;;;;;;;;d1;;;str8;street;largo do carmo;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;restaurant;;;d1;;;;;;;neig1;;chiado;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;neig1;;chiado;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;d1;;;pub1;pub;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;d2;;str3;street;rua garret;;chur1;church;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;[d1,d2];;;;str1;street;nova da trindade;;str8;street;largo do carmo;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;rest1;restaurant;;;d1;;;;;;;str8;;largo do carmo;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;
rest1;restaurant;aqui ha peixe;;;;;;d1;;;str8;;largo do carmo;;;;;;;;;;;;;;/;rest2;restaurant;;;d1;;;;d2;;;str3;street;rua garret;;drug1;drugstore;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;;street;;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;;;;;;;;;;;;;;
drug2;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;drug3;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;;/;drug3;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;;/;drug3;;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;d2;;;str11;street;rua do ouro;;str15;street;rua da assuncao;corner;;;;;;;;;/;drug3;drugstore;;;d1;;;[d1,d2];;;;str11;street;rua do ouro;;str12;street;rua da vitoria;;;;;;;;;
drug2;drugstore;internacional;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;internacional;NOT d2;d1;;;;;;;str11;street;rua do ouro;;drug4;;cortez;;;;;;;;;;/;drug3;drugstore;;NOT d2;d1;;;;;;;str11;street;rua do ouro;;drug4;;cortez;;;;;;;;;
drug2;drugstore;;NOT d2;d1;;;;;;;str11;street;rua do ouro;;drug4;;cortez;;;;;;;;;;/;drug3;drugstore;;NOT d2;d1;;;;;;;str11;street;rua do ouro;;drug4;;cortez;;;;;;;;;
drug2;drugstore;;;d1,d2;;;;;;;str11;street;rua do ouro;;str12;street;rua da vitoria;;;;;;;;;;/;drug3;;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;internacional;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;internacional;;;;;;;;;;;;;;;;;;;;;;;;;/;drug3;drugstore;;;;;;[d1,d2];d3;;;str11;street;rua do ouro;;str12;street;rua da vitoria;;chur3;church;;;;;;
drug2;drugstore;internacional;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;internacional;;;;;;;;;;;;;;;;;;;;;;;;;/;drug3;;;;;;;;;;;;;;;;;;;;;;;;;;
drug2;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
drug2;drugstore;internacional;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug3;drugstore;;;d1;;;;d2;;;str11;street;rua do ouro;;str12;street;rua da vitoria;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;drug4;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
